table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2002/03,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4633.51274,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2002/03,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,16.00423,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2003/04,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,5453.3,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2003/04,Marketing year,August,NA,Imports,Apples,Fresh,United States,472.73453,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2003/04,Marketing year,August,NA,Supply,Apples,Fresh,United States,5926.03453,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2003/04,Marketing year,August,NA,Exports,Apples,Fresh,United States,986.32026,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2003/04,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4939.71427,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2003/04,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,16.90571,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2004/05,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6619,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2004/05,Marketing year,August,NA,Imports,Apples,Fresh,United States,262.83659,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2004/05,Marketing year,August,NA,Supply,Apples,Fresh,United States,6881.83659,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2004/05,Marketing year,August,NA,Exports,Apples,Fresh,United States,1339.04017,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2004/05,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5542.79643,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2004/05,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,18.79462,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2005/06,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6096.9,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2005/06,Marketing year,August,NA,Imports,Apples,Fresh,United States,348.81276,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2005/06,Marketing year,August,NA,Supply,Apples,Fresh,United States,6445.71276,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2005/06,Marketing year,August,NA,Exports,Apples,Fresh,United States,1488.39447,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2005/06,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4957.31829,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2005/06,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,16.65503,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2006/07,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6308.5,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2006/07,Marketing year,August,NA,Imports,Apples,Fresh,United States,427.85382,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2006/07,Marketing year,August,NA,Supply,Apples,Fresh,United States,6736.35382,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2006/07,Marketing year,August,NA,Exports,Apples,Fresh,United States,1407.30131,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2006/07,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5329.05251,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2006/07,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,17.72959,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2007/08,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6077.3,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2007/08,Marketing year,August,NA,Imports,Apples,Fresh,United States,381.15135,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2007/08,Marketing year,August,NA,Supply,Apples,Fresh,United States,6458.45135,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2007/08,Marketing year,August,NA,Exports,Apples,Fresh,United States,1484.09818,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2007/08,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4974.35318,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2007/08,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,16.38964,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2008/09,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6265.9,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2008/09,Marketing year,August,NA,Imports,Apples,Fresh,United States,363.77073,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2008/09,Marketing year,August,NA,Supply,Apples,Fresh,United States,6629.67073,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2008/09,Marketing year,August,NA,Exports,Apples,Fresh,United States,1767.56584,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2008/09,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4862.10489,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2008/09,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,15.87844,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2009/10,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6296.4,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2009/10,Marketing year,August,NA,Imports,Apples,Fresh,United States,401.81296,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2009/10,Marketing year,August,NA,Supply,Apples,Fresh,United States,6698.21296,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2009/10,Marketing year,August,NA,Exports,Apples,Fresh,United States,1695.90277,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2009/10,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,5002.31018,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2009/10,Marketing year,August,NA,Per capita availability,Apples,Fresh,United States,16.19746,pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2010/11,Marketing year,August,NA,Utilized production,Apples,Fresh,United States,6248.8,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2010/11,Marketing year,August,NA,Imports,Apples,Fresh,United States,328.67834,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2010/11,Marketing year,August,NA,Supply,Apples,Fresh,United States,6577.47834,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2010/11,Marketing year,August,NA,Exports,Apples,Fresh,United States,1823.14781,million pounds
"Table G-1--Apples, fresh: Supply and availability, 1980/81 to date",2010/11,Marketing year,August,NA,Domestic availability,Apples,Fresh,United States,4754.33054,million pounds
